id;name;description;cover;updated;urlFormat
life2025;流光簿-2025;那些流过的光影;;2025-08-24;https://gallery-oss.zzzz.yt/img/life2025/{photo}-{size}.jpg
winterTrip2025;冬日旅行-2025;冬游厦门，顺便转机偷渡进SHA拍飞机w;;2025-01-27;https://gallery-oss.zzzz.yt/img/2025厦门&上海/{photo}-{size}.jpg
summerTrip2025;夏日旅行-2025;高考假特种兵闪击京津，暑假在宁沪杭玩得很开心ww;;2025-08-09;https://gallery-oss.zzzz.yt/img/summerTrip2025/{photo}-{size}.jpg
