photo;title;description;tags;extra
DSC00074;与新航A380失之交臂;在PVG东跑道土堆上守着，结果380去西跑道了……;;{}
DSC00330;铁鸟和鸟;土航77W;;{}
DSC00377;达美船新的A339;第一次拍到339;;{}
DSC00469;达美A359;;;{}
DSC00509;新航77W;;;{}
DSC00525;跑道口等待的达美A359;;;{}
DSC00577;向光而行的DF7;DF75303;;{}
DSC08046-已增强-降噪;天津空客 BelugaXL;F-GXLO;;{}
DSC09993;乍浦路桥望陆家嘴;;;{}
